stat,name,lcI,lcV,type_1,period[d],<I>_1,<V>_1,ra_1,dec_1,ra_1a,dec_1a,amp,period_best,Ai_templ,<I>_templ,<V>_templ,rms,red_chi2,scatter,<I>_F,err_I,nI,p1,p2,p3,p4,p5,a1_F,f1_i,f12_i,r12_i
N,lc_00853.304_00045.869_t,SWEEPS_F2/B.1/newlctot/Isf/lc_00853.304_00045.869_t,SWEEPS_F2/B.1/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,8.05437,19.29,99.0,269.832042,-29.291389,17:59:19.69,-29:17:29.0,0.419,8.04728,0.383,19.272,99.0,927.233,1.29,0.02,19.272,2020.029,725,8.05062,16.10001,32.20653,24.15389,1.13835,0.16,-2.185,4.467,0.138
N,lc_00176.933_01711.149_t,SWEEPS_F2/A.3/newlctot/Isf/lc_00176.933_01711.149_t,SWEEPS_F2/A.3/newlctot/Vsf/lc_00176.750_01711.460_t,ceph,7.74259,18.14,20.2,269.743958,-29.102722,17:58:58.55,-29:06:09.8,0.218,7.76009,0.14,18.14,20.122,929.472,1.153,0.02,18.142,6826.383,807,7.74726,15.50175,23.24889,3.43442,2.651,0.056,-0.606,-0.725,0.275
N,lc_00682.213_01193.992_t,SWEEPS_F1/A.3/newlctot/Isf/lc_00682.213_01193.992_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,6.154376,18.9,99.0,269.584667,-29.159917,17:58:20.32,-29:09:35.7,0.306,6.15416,0.219,18.884,99.0,935.662,1.157,0.02,18.885,3256.755,815,18.46084,6.15143,24.61519,12.3063,3.4328,0.093,-1.184,-0.239,0.014
N,lc_00268.796_00187.851_t,SWEEPS_F1/A.3/newlctot/Isf/lc_00268.796_00187.851_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,14.458965,18.86,99.0,269.519042,-29.136361,17:58:04.57,-29:08:10.9,0.288,14.36572,0.188,18.854,99.0,964.411,1.192,0.02,18.857,5531.151,815,28.8096,57.61514,43.22433,14.38701,1.07164,0.061,-1.391,4.531,0.11
N,lc_01426.869_01787.593_t,SWEEPS_F2/A.3/newlctot/Isf/lc_01426.869_01787.593_t,SWEEPS_F2/A.3/newlctot/Vsf/lc_01427.946_01788.190_t,ceph,7.143465,18.34,19.95,269.748875,-29.174194,17:58:59.73,-29:10:27.1,0.206,6.84001,0.107,18.344,19.965,967.214,1.227,0.02,18.344,9277.341,789,3.50193,6.83082,13.65696,27.37905,4.67027,0.043,-1.831,2.766,0.129
N,lc_00878.229_02033.235_t,SWEEPS_F3/A.2/newlctot/Isf/lc_00878.229_02033.235_t,SWEEPS_F3/A.2/newlctot/Vsf/lc_00878.905_02032.724_t,ceph,1.028371,18.08,20.07,269.983917,-29.233889,17:59:56.14,-29:14:02.0,0.208,32.64677,0.114,18.079,20.059,973.87,1.192,0.02,18.075,10989.254,818,65.37321,32.74025,98.76482,3.08526,1.0285,0.047,-2.005,6.012,0.237
N,lc_00878.221_01166.413_t,SWEEPS_F2/B.1/newlctot/Isf/lc_00878.221_01166.413_t,SWEEPS_F2/B.1/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,2.721331,19.16,99.0,269.905542,-29.292639,17:59:37.33,-29:17:33.5,0.265,2.72173,0.173,19.16,99.0,985.105,1.215,0.02,19.165,2338.164,817,8.16099,5.44113,10.88082,2.72001,4.72358,0.041,-0.688,-0.35,0.194
N,lc_00310.913_00780.833_t,SWEEPS_F3/A.3/newlctot/Isf/lc_00310.913_00780.833_t,SWEEPS_F3/A.3/newlctot/Vsf/lc_00310.415_00780.647_t,ceph,13.318895,18.38,20.14,269.704125,-29.200278,17:58:48.99,-29:12:01.0,0.258,13.33245,0.165,18.375,20.111,1000.904,1.519,0.02,18.377,4463.358,660,13.32684,26.65951,40.03735,53.37906,2.78377,0.037,-2.282,5.354,0.313
N,lc_01046.268_00529.176_t,SWEEPS_F1/A.3/newlctot/Isf/lc_01046.268_00529.176_t,SWEEPS_F1/A.3/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,1.886962,18.7,99.0,269.54125,-29.180639,17:58:09.90,-29:10:50.3,0.216,2.11627,0.158,18.696,99.0,1009.735,1.256,0.02,18.696,2200.34,810,3.77264,1.88609,7.54542,5.65862,2.11675,0.025,-1.605,5.439,0.118
N,lc_00958.838_00311.717_t,SWEEPS_F3/B.4/newlctot/Isf/lc_00958.838_00311.717_t,SWEEPS_F3/B.4/newlctot/Vsf/lc_00958.257_00311.994_t,ceph,2.948665,18.46,20.89,269.675708,-29.386694,17:58:42.17,-29:23:12.1,0.208,2.94952,0.189,18.459,20.875,1013.189,1.248,0.02,18.457,6154.092,813,1.49054,2.94959,5.8987,8.84722,2.98106,0.06,-2.619,3.911,0.164
N,lc_00924.077_00265.545_t,SWEEPS_F1/A.2/newlctot/Isf/lc_00924.077_00265.545_t,SWEEPS_F1/A.2/newlctot/Vsf/lc_00923.268_00266.243_t,ceph,8.276558,18.23,19.78,269.715583,-29.174528,17:58:51.74,-29:10:28.3,0.21,8.27788,0.197,18.24,19.788,1014.254,1.243,0.02,18.234,7122.435,814,16.56646,8.27986,1.78038,33.13964,3.56081,0.052,-2.517,3.986,0.278
N,lc_01495.740_00211.414_t,SWEEPS_F1/B.4/newlctot/Isf/lc_01495.740_00211.414_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_01496.317_00211.233_t,ceph,11.539397,18.9,21.39,269.522333,-29.355444,17:58:05.36,-29:21:19.6,0.288,11.5426,0.172,18.9,21.364,1068.409,1.293,0.02,18.897,5385.11,824,1.84001,11.55077,34.63857,23.08715,2.76008,0.061,-1.473,-0.185,0.139
N,lc_01030.638_00091.217_t,SWEEPS_F1/B.1/newlctot/Isf/lc_01030.638_00091.217_t,SWEEPS_F1/B.1/newlctot/Vsf/lc_01030.767_00090.572_t,ceph,4.33251,18.96,20.43,269.712708,-29.329528,17:58:51.05,-29:19:46.3,0.245,4.3357,0.159,18.956,20.417,1076.285,1.305,0.02,18.957,2361.923,823,4.33677,13.01067,8.67346,3.24339,1.62172,0.022,-1.03,4.679,0.137
N,lc_01819.329_01110.287_t,SWEEPS_F3/B.1/newlctot/Isf/lc_01819.329_01110.287_t,SWEEPS_F3/B.1/newlctot/Vsf/lc_01820.075_01110.857_t,ceph,17.648392,19.24,21.0,269.927833,-29.436111,17:59:42.68,-29:26:10.0,0.284,17.6871,0.246,19.234,21.096,1079.89,1.345,0.02,19.236,1957.668,805,17.67682,35.35909,53.06062,70.65726,2.11378,0.052,-1.223,2.088,0.275
N,lc_01970.289_01167.719_t,SWEEPS_F1/B.4/newlctot/Isf/lc_01970.289_01167.719_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_01970.385_01168.340_t,ceph,14.635292,18.21,20.32,269.584875,-29.382556,17:58:20.37,-29:22:57.2,0.262,14.63439,0.177,18.211,20.34,1106.989,1.399,0.02,18.21,8278.618,789,29.30018,14.65772,58.55829,43.94396,2.14045,0.072,-1.922,3.477,0.064
N,lc_01531.908_00656.906_t,SWEEPS_F2/B.1/newlctot/Isf/lc_01531.908_00656.906_t,SWEEPS_F2/B.1/newlctot/Vsf/lc_01532.398_00656.666_t,ceph,8.334034,18.05,20.22,269.872083,-29.330083,17:59:29.30,-29:19:48.3,0.212,8.32584,0.121,18.058,20.166,1118.558,1.361,0.02,18.055,11948.759,823,16.64341,33.33858,24.95622,8.32391,2.67221,0.051,-2.173,6.458,0.046
N,lc_00865.425_00266.346_t,SWEEPS_F1/B.4/newlctot/Isf/lc_00865.425_00266.346_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,1.843543,18.82,99.0,269.526,-29.319528,17:58:06.24,-29:19:10.3,0.276,1.84376,0.205,18.827,99.0,1133.392,1.386,0.02,18.823,4411.622,824,3.68684,1.84343,5.53061,1.94163,1.29444,0.088,-1.341,4.893,0.137
N,lc_01998.110_00364.232_t,SWEEPS_F1/A.2/newlctot/Isf/lc_01998.110_00364.232_t,SWEEPS_F1/A.2/newlctot/Vsf/lc_01998.448_00363.868_t,ceph,14.080637,18.35,20.16,269.722042,-29.236056,17:58:53.29,-29:14:09.8,0.246,0.93155,0.121,18.346,20.188,1133.445,1.389,0.02,18.343,10448.655,814,28.19121,14.11952,56.45462,2.79469,42.33583,0.048,-1.857,2.039,0.246
N,lc_01256.770_00334.271_t,SWEEPS_F3/A.3/newlctot/Isf/lc_01256.770_00334.271_t,SWEEPS_F3/A.3/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,2.790946,18.47,99.0,269.674708,-29.254444,17:58:41.93,-29:15:16.0,0.206,2.78926,0.166,18.477,99.0,1138.034,1.497,0.02,18.478,3225.401,766,2.78858,5.57729,8.36537,1.46906,3.10613,0.036,3.011,-7.343,0.209
N,lc_01207.579_01996.767_t,SWEEPS_F3/A.3/newlctot/Isf/lc_01207.579_01996.767_t,SWEEPS_F3/A.3/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,2.655104,19.28,99.0,269.783708,-29.251528,17:59:08.09,-29:15:05.5,0.287,2.65347,0.179,19.273,99.0,1148.707,1.423,0.02,19.272,3819.978,813,7.96303,2.65435,10.61773,5.30955,4.79293,0.069,-1.678,0.5,0.11
N,lc_01420.451_00223.519_t,SWEEPS_F1/B.4/newlctot/Isf/lc_01420.451_00223.519_t,SWEEPS_F1/B.4/newlctot/Vsf/lc_00000.000_00000.000_t,ceph,1.192951,18.15,99.0,269.523125,-29.351139,17:58:05.55,-29:21:04.1,0.228,1.19304,0.101,18.15,99.0,1153.51,1.473,0.02,18.146,9268.49,789,18.49474,6.16636,1.19298,2.38597,12.33533,0.045,-2.666,3.263,0.252
N,lc_01000.510_00016.695_t,SWEEPS_F3/A.2/newlctot/Isf/lc_01000.510_00016.695_t,SWEEPS_F3/A.2/newlctot/Vsf/lc_01002.400_00016.059_t,ceph,2.474448,18.82,20.45,269.851417,-29.24075,17:59:24.34,-29:14:26.7,0.203,2.47429,0.15,18.825,20.426,1153.535,1.449,0.02,18.823,3754.128,797,2.47399,4.94785,7.42093,5.03258,2.84317,0.033,-2.336,5.858,0.156
N,lc_00954.068_00231.619_t,SWEEPS_F1/B.1/newlctot/Isf/lc_00954.068_00231.619_t,SWEEPS_F1/B.1/newlctot/Vsf/lc_00954.052_00231.151_t,ceph,4.210896,18.55,20.56,269.721917,-29.325139,17:58:53.26,-29:19:30.5,0.283,4.20551,0.244,18.562,20.492,1171.254,1.42,0.02,18.562,4104.916,823,8.41414,4.20705,16.82794,12.62108,1.30712,0.098,-1.129,5.14,0.203
N,lc_01762.168_02172.433_t,SWEEPS_F3/A.3/newlctot/Isf/lc_01762.168_02172.433_t,SWEEPS_F3/A.3/newlctot/Vsf/lc_01762.510_02173.061_t,ceph,13.637443,17.83,19.94,269.795167,-29.28325,17:59:10.84,-29:16:59.7,0.22,13.58876,0.118,17.826,19.953,1179.164,1.638,0.02,17.825,16960.126,721,27.16285,54.30059,13.57711,40.68812,1.9917,0.045,-1.754,2.942,0.306
